WriteEcoSim, SaveMedWeights
WriteEcoSim, SaveMedWeights
WriteEcoSim, UpdateGroupInfoFromEcosim
WriteEcoSim, UpdateGroupInfoFromEcosim
mnuUtilitiesItem_Click, SwapRefsInDietTable
ExportTheModelToTemporaryDatabase, EstablishConnection
CompactDB, EstablishConnection
UpdateDatabaseVersion, EstablishConnection
UpdateReferenceVersion, EstablishConnection
CompactDB, EstablishConnection
UpdateDatabaseVersion, EstablishConnection
btnCommand_Click, EstablishConnection
ExportTheModelToTemporaryDatabase, OpenRecordset
UpdateDatabaseVersion, OpenRecordset
UpdateReferenceVersion, OpenRecordset
UpdateDbVersion, OpenRecordset
UpdateDatabaseVersion, OpenRecordset
SaveEiiData, OpenRecordset
ReadRemarks, OpenRecordset
AddGroupToList, OpenRecordset
DeleteGroupFromList, OpenRecordset
SaveEiiData, OpenRecordset
ListTracerScenario, ReadEcoTracer
ListTracerScenario, ReadEcoTracer
ListTracerScenario, WriteEcoTracer
LoadTracerScenario, WriteEcoTracer
ListTracerScenario, WriteEcoTracer
LoadTracerScenario, WriteEcoTracer
btnSubToolBar_ButtonClick, WriteEcoTracer
LoadTracerScenario, ListTracerScenario
LoadTracerScenario, ListTracerScenario
btnSubToolBar_ButtonClick, ListTracerScenario
btnSubToolBar_ButtonClick, LoadTracerScenario
mnuEditItem_Click, LoadTracerScenario
RunSeed, FSEqInitializeSeed
FSEqInitializeSeed, RedimSeedVariables
cmdRunSpace_Click, RunSeed
SelectNewMPAcell, StartEvaluateSeedCell
FindSpatialEquilibrium, StartEvaluateSeedCell
FindSpatialEquilibrium, SelectNewMPAcell
FindSpatialEquilibrium, CalcBioValSeed
FindSpatialEquilibrium, CalcGearValSeed
ChooseEffortRoutine, PredictEffortDistributionSeed
StartEvaluateSeedCell, KeepOrReloadCellValues
SelectNewMPAcell, KeepOrReloadCellValues
PredictEffortDistributionSeed, KeepOrReloadCellValues
FSEqInitializeSeed, MakeValArray
FSEqInitializeSeed, RedimSumVariables
StartEvaluateSeedCell, RedimSumVariables
FSEqInitializeSeed, GetFactor1
StartEvaluateSeedCell, GetFactor1
SelectNewMPAcell, GetFactor1
optEcoseed_Click, ShowMPA
SelectNewMPAcell, DoSeedPlot
ShowSeedPlot_Click, DoSeedPlot
UpdateBaseMap, EcospaceHabitatDefinitions
newmapClick, EcospaceHabitatDefinitions
optHabitatRegion_Click, EcospaceHabitatDefinitions
tabEcoSpace_Click, EcospaceHabitatDefinitions
txtHabNo_LostFocus, EcospaceHabitatDefinitions
cmdCellRegion_Click, EcospaceRegionDefinitions
cmdHabReg_Click, EcospaceRegionDefinitions
optHabitatRegion_Click, EcospaceRegionDefinitions
txtRegions_LostFocus, EcospaceRegionDefinitions
Public Sub EcospaceHabitats, CalcAreaDifference
SetHabitat, CalcAreaDifference
tabEcoSpace_Click, EcospaceMovements
tabEcoSpace_Click, EcospaceFishery
vaDefinitionsLeaveCell, TransferHabitatText
newmapClick, DefaultMovementEcospace
DefaultMovementEcospace, SetDefaultMeanVelocityMvel
vaSim_Click, SetHabitat
vaSim_Click, SetHabitat
vaSpaceFishClick, SetHabitat
vaSim_Click, SetMovement
vaSim_Click, SetMovement
DisplayBaseMap, RefreshHabitatList
DisplayBaseMap, RefreshHabitatList
DisplayBaseMap, RefreshRegionList
DisplayBaseMap, RefreshRegionList
DisplayBaseMap, FillFleetList
DisplayBaseMap, FillFleetList
CreateEcoWriteFile, CreatePrintLine
CreateEcoWriteFile, CreateWriteRefList
CreatePrintLine, FormatPrintText
Minimize, SearchForBaseProfitability
SearchForBaseProfitability, ShowFleetCosts
CmdSearch_Click, Minimize
Minimize, flet
BFGS, printstats
DFPmin, printstats
SearchForBaseProfitability, printstats
Minimize, printstats
flet, printstats
FUNC#, EffortChangePenalty
FUNC#, LimitFPenalty
ReadEcoSim, DefaultMedFunctions
ReadEcoSim, DefaultMedFunctions
InitialState, InitializeMedFunctions
Derivt, SetMedFunctions
derivtRed, SetMedFunctions
GenerateZnew, SetMedFunctions
ReadEcoSim, ReDimMediation
ReadEcoSim, ReDimMediation
LoadEcosimScenario, ReDimMediation
ResetSimDefaults, ReDimMediation
DisplayMediation, PlotMed
Shaper_Click, PlotMed
vaShaper_LeaveCell, PlotMed
ResetSimDefaults, PlotMed
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
MDIForm_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
Form_Load, PlaceFormAsLastTime
ReadEcoSim, ReadMedWeights
ReadEcoSim, ReadMedWeights
SensitivLoop, InitStanza
StartEcoSim, InitStanza
StartEcosimWithNewPars, InitStanza
StartEcoSimAgain, InitStanza
InitializeNewFile, SetBasicParamsDefault
Initialize, SetBasicParamsDefault
ReadInputData, CheckDetritusFate
DisplayDietComposition, HideNonConsumers
DisplayData, InitializeGearData
DisplayData, InitializeNewFile
MDIForm_Load, LoadColorsFromIniFile
Abort4, MakeDietsSumToOne
ParamEstimate1, MakeDietsSumToOne
CheckPredatorPreyTrophicLevels, MakeDietsSumToOne
InitParamEstimForm, MakeDietsSumToOne
ReadInputData, OpenEiiFile
DisplayData, ReadInputData
ReadInputData, ReadGearData
InitializeNewFile, RedimEIIdata
OpenEiiFile, RedimEIIdata
ReadInputData, RedimEIIdata
ReadInputData, EraseInputVariables
CloseEiiFormTools, EraseInputVariables
cmdAction_Click, SaveEiiData
cmdAction_Click, SaveEiiData
cmdAction_Click, SaveEiiData
SaveData, SaveEiiData
cmdAction_Click, SaveEiiData
cmdAction_Click, SaveEiiData
cmdAction_Click, SaveEiiData
cmdAction_Click, SaveEiiData
cmdAction_Click, SaveEiiData
mnuFileItem_Click, SaveEiiData
SaveEcopathFromEcosim, SaveEiiFile
ReadGearData, ThereIsFishery
InitParamEstimForm, ValidateData
OpenEiiFile, RedimGearVariables
ReadGearData, RedimGearVariables
RedimEIIdata, RedimGearVariables
AddNewGearRow, RedimGearVariables
DeleteSelectedGear, RedimGearVariables
ParamEstimates, CalcNewExportCatch
UpdateLandings, CalcNewExportCatch
UpdateDiscard, CalcNewExportCatch
CalcNewExportCatch, UpdateExportCatch
InitInputForm, SaveTheFileToDataBase
UpdateValuesOnInputFormAndInDataBase, UpdateDiet
SaveRangerEii, UpdateDiet
ReadEcoSim, CheckSumStart
ReadEcoSim, CheckSumStart
FormatSimSpaceResults, CheckSumStart
tabPrepareRun_Click, CheckSumStart
CheckIfTotalTimeHasIncreased, CheckSumStart
StartUpEcospace, CheckSumStart
tabEcoSpace_Click, CheckSumStart
ReadGearData, ReadGearInfo
AddNewGearRow, ReadGearInfo
btnSubToolBar_ButtonClick, ReadGearInfo
ReadGearData, ReadLandings
AddNewGearRow, ReadLandings
btnSubToolBar_ButtonClick, ReadLandings
ReadGearData, ReadDiscardFate
AddNewGearRow, ReadDiscardFate
btnSubToolBar_ButtonClick, ReadDiscardFate
ReadGearData, ReadShadow
ReadInputData, ReadBasicInput
SetMean_Deviations, ReadBasicInput
ReadInputData, ReadStanza
ReadInputData, ReadDietComp
ReadInputData, ReadImmigEmigration
ReadInputData, ReadGrowthInput
DoOptStage, ReadGrowthInput
DisplayBasicEstimates, ReadBasicOutput
SetMean_Deviations, ReadBasicOutput
ReadInputData, ReadCatchCodes
ReadEcoSim, DefaultFishRates
ReadEcoSim, DefaultFishRates
StartEcoSim, DefaultFishRates
RunInfoLeaveCell, DefaultFishRates
UpdateValuesOnInputFormAndInDataBase, SaveGroupInfo
UpdateValuesOnInputFormAndInDataBase, SaveDetritusFate
CheckDetritusFate, SaveDetritusFate
UpdateValuesOnInputFormAndInDataBase, SaveCatches
SaveFisheryInfo, SaveCatches
UpdateValuesOnInputFormAndInDataBase, SaveDiscardFate
SaveFisheryInfo, SaveDiscardFate
mnuEditItem_Click, UpdateGroupSequence
DisplayBasicEstimates, FormatMissingFields
InitParamEstimForm, CheckForImportOnlyGroups
InitParamEstimForm, CheckDetritusFateTooBig
InitParamEstimForm, CheckDiscardFateZero
tabDataInput_Click, CheckLooWinfCalc
btnSubToolBar_ButtonClick, CheckLooWinfCalc
UpdateValuesOnInputFormAndInDataBase, SaveFisheryInfo
AddNewGearRow, SaveFisheryInfo
btnSubToolBar_ButtonClick, SaveFisheryInfo
tabDataInput_Click, DisplayAllBasicInputRemarks
CalcAggMan, DietWasChanged
OpenEiiFile, DietWasChanged
vaDiet_Change, DietWasChanged
ScaleInputDCToOne, DietWasChanged
InitStanza, CalculateStanzaParameters
DoStanzaCalculations, CalculateStanzaParameters
RepeatStanzaCalculations, CalculateStanzaParameters
UpdateValuesOnInputFormAndInDataBase, SaveStanza
ShowCurrentGroups, GetStanzaName
ShowCurrentGroups, GetStanzaSequence
btnCommand_Click, ImportReferences
ImportTheTempMDB, ImportReferencesWithEcoWriteTrue
ImportTheTempMDB, ImportReferencesWithEcoWriteTrue
ImportTheModel, ImportModels
ImportTheModel, ImportGroupInfo
ImportGroupInfo, TransferGroupInfo
ImportTheModel, ImportGroupStanza
ImportTheModel, ImportGroupSize
ImportTheModel, ImportGroupxGroup
ImportTheModel, ImportGear
ImportTheModel, ImportCatch
ImportTheModel, ImportDiscardFate
ImportTheModel, ImportBasicParamRemarks
ImportTheModel, ImportEcoRanger
ImportTheModel, ImportEcoRangerN
ImportTheModel, ImportEcoRangerNxN1
ImportTheModel, ImportEcoSim
ImportTheModel, ImportEcoSimN
ImportTheModel, ImportEcoSimnShapes
ImportTheModel, ImportEcoSimNxN
ImportTheModel, ImportEcoSimNxNForcing
ImportTheModel, ImportEcoSimPairs
ImportTheModel, ImportEcoSimFishGear
ImportTheModel, ImportEcoSpace
ImportTheModel, ImportEcoSpaceRegions
ImportTheModel, ImportEcoSpaceGear
ImportTheModel, ImportEcoSpaceGearxNxN
ImportTheModel, ImportEcoSpaceN
ImportTheModel, ImportEcoSpaceNxN
ImportTheModel, ImportFlowBox
ImportTheModel, ImportFlowConnector
ImportTheModel, ImportFlowLabel
ImportTheModel, ImportFlowLineSource
ImportTheModel, ImportFlowLines
ImportTheModel, ImportGroupTaxon
ImportTheModel, ImportTimeSeries
ImportTheModel, ImportEcospaceTimeSeries
ImportTheModel, ImportEcoSpaceMPA
ImportTheModel, ImportOutputParam
ImportTheModel, ImportPyramidMain
ImportTheModel, ImportPyramidSource
ImportTheModel, ImportSummaryStatistics
ImportModels, ImportRefCode
TransferGroupInfo, ImportRefCode
ImportGroupxGroup, ImportRefCode
ImportGear, ImportRefCode
ImportCatch, ImportRefCode
ImportDiscardFate, ImportRefCode
ImportBasicParamRemarks, ImportRefCode
ImportEcoRanger, ImportRefCode
ImportEcoSim, ImportRefCode
ImportEcoSimN, ImportRefCode
ImportEcoSimPairs, ImportRefCode
ImportEcoSpace, ImportRefCode
ImportEcoSpaceGear, ImportRefCode
ImportEcoSpaceN, ImportRefCode
ImportOutputParam, ImportRefCode
ImportSummaryStatistics, ImportRefCode
ImportEcoTracer, ImportRefCode
ImportTheModel, ImportEcoTracer
ImportTheModel, ImportEcoTracerN
cmdCalcSailing_Click, CalculateCostOfSailing
CalculateCostOfSailing, CalDistance
cmdPort_Click, CalDistance
EcoBioCallingOptimization, FuncEval1
RunModel, Estimate_Taxon_initial
RunModel, Rescale_Bcell
Estimate_Taxon_initial, FindFirstOccurrence
Estimate_Taxon_initial, GetTaxoCode
RunModel, EstimateTL_Indices
RunModel, SaveIndices
SaveIndices, SaveAnnualIndices
SaveIndices, SaveModelYearIndices
RunModel, Estimate_Taxon_indices
RunModel, EstimateTLofCatch
CmdSearch_Click, EstimateTLofCatch
RunModel, EstimateTLsInEcosim
CmdSearch_Click, EstimateTLsInEcosim
FillTaxonCombos, GetTaxonName
DisplayTaxonData, GetTaxonName
FillCmbClass, GetTaxonName
FillCmbOrder, GetTaxonName
FillCmbFamily, GetTaxonName
FillCmbGenus, GetTaxonName
FillCmbSpecies, GetTaxonName
SaveAnnualIndices, CalculateIDH
SaveModelYearIndices, CalculateIDH
mnuEditItem_Click, ImportGroupTaxonInfo
SetParsFromP, SPLINE
SetParsFromP, SPLINE
SetParsFromP, SPLINT
SetParsFromP, SPLINT
DoEstimation, SetVblock
DoEstimation, SetVblock
DoEstimation, MatInv
DoEstimation, MatInv
DoEstimation, SetPfromPars
DoEstimation, SetPfromPars
DoEstimation, SetParsFromP
DoEstimation, SetParsFromP
DoEstimation_Click, DoEstimation
EstimateTLofCatch, FunctionKemptonsQ
RunModel, FunctionKemptonsQ
CmdSearch_Click, FunctionKemptonsQ
SetParsFromP, SPLINE
SetParsFromP, SPLINE
SetParsFromP, SPLINT
SetParsFromP, SPLINT
DoEstimation, SetVblock
DoEstimation, SetVblock
DoEstimation, MatInv
DoEstimation, MatInv
DoEstimation, SetPfromPars
DoEstimation, SetPfromPars
DoEstimation, SetParsFromP
DoEstimation, SetParsFromP
DoEstimation_Click, DoEstimation
EstimateTLofCatch, FunctionKemptonsQ
RunModel, FunctionKemptonsQ
CmdSearch_Click, FunctionKemptonsQ
RangerGrafRes, DrawRangerGraf
PlotRangerHistogram, GetGrafTitle
ShowHideAttributes, GetGrafTitle
InitIndicator, GetRatioProp
MoveAndShowIndicator, GetRatioProp
MoveAndShowIndicator, GetRatioProp
MoveAndShowIndicator, GetRatioProp
DrawRangerGraf, InitIndicator
InitIndicator, MoveAndShowIndicator
MoveIndicatorLine, MoveAndShowIndicator
SetIndicatorLineToMean, MoveAndShowIndicator
MoveIndicatorLine, MoveAndShowIndicator
MoveIndicatorLine, MoveAndShowIndicator
outPic_MouseDown, MoveIndicatorLine
outPic_MouseMove, MoveIndicatorLine
PlotTime_MouseDown, MoveIndicatorLine
BioPlot_MouseDown, MoveIndicatorLine
DrawRangerGraf, PlotRangerHistogram
GrafRangerExport, PlotRangerHistogram
RunRanger, RangerGrafRes
DrawRangerGraf, ShowHideAttributes
RunRanger, Calc_Output_Std_Mean
RangerGrafRes, CalcOutputParameter
RunRanger, Chesson
DisplayElectivity, Chesson
cmdElectivity_Click, Chesson
mnuEditItem_Click, GetDietsBiomassCalculatePreference
GetDietsBiomassCalculatePreference, CalcChessonAlpha
IterateForDiet, CalcChessonAlpha
GetDietsBiomassCalculatePreference, IterateForDiet
IterateForDiet, RescaleDietsToDietSum
grdRanger_LeaveCell, ComputeParamMinMax
InValidAndResetToPct, ComputeParamMinMax
UseDefaultPct, ComputeParamMinMax2
InitMinMaxUsingPctParam, ComputeParamMinMax2
SIR_Routine, DoOptim
RunRanger, DoOptim
RunRanger, DumptedParameters
SaveTheseNewParameters, FindMinMax
DrawRangerGraf, GetMaxYValue
GrafRangerExport, GetMaxYValue
SIR_Routine, RedimTheOutputParams
RunRanger, RedimTheOutputParams
DimRangerVariables2, ResetOutputMinMax
SIR_SaveThisRun, SIR_Probabilities
SIR_Routine, Cholesky
SIR_Routine, SaveMaxProbModel
RunRanger, SIR_SaveThisRun
CmdReset_Click, UseDefaultPct
CmdReset_Click, UseDefaultPct
tbxVar_LostFocus, UseDefaultPct
RunRanger, ChooseSIRParams
AskToSaveRanger, EcoRangerSaveAs
RangerGrafRes, Assign_Pmin_PMax
RunRanger, AssignNewToMean
DoOptim, CalcResiduals
DoOptim, CalcTotalBiomass
DoOptim, CompareThruPut
ReadInputData, DefaultRangerVariables
ReadInputData, DimRangerVariables1
SIR_Routine, DimRangerVariables2
RunRanger, DimRangerVariables2
DisplayProgress, DisplayDeviation
RunRanger, DisplayDeviation
SIR_Routine, DisplayProgress
RunRanger, DisplayProgress
EvaluateParameters, DumpEstim
RunRanger, DumpEstim
RunRanger, EvaluateParameters
GetParametersForNewRun, GetNewParameter
RunRanger, GetParametersForNewRun
RunRanger, MakeTxtAbort
SIR_Routine, OpenHoldFile
RunRanger, OpenHoldFile
RunRanger, ResetCounters
cmdRunRanger_Click, RunRanger
RunRanger, PlaceProgressLabels
SIR_Routine, SaveTheseNewParameters
RunRanger, SaveTheseNewParameters
DoOptim, SaveThisRun
CalcTotalBiomass, SaveThisRun
CompareThruPut, SaveThisRun
RunRanger, SaveThisRun
CalcResiduals, SaveThisRunResiduals
tbxVar_LostFocus, SetRangerPct
PromptForEIIFilename, RestoreInputVariables
ReadFlaBayData, CountCols
ReadRefData, CountCols
ReadSpaceRefData, CountCols
ReadForcingFunction, CountCols
RunModel, InitializeCapacity
RunModel, PredictCapacityChange
RunModelFast, AccumulateDataInfo
RunModel, AccumulateDataInfo
FindSpatialEquilibrium, AccumulateDataInfo
ReadFlaBayData, DoSeriesValCalculations
btnLoadClipboard_Click, ReadRefData
RunModelFast, InitializeDataInfo
RunModel, InitializeDataInfo
FindSpatialEquilibrium, InitializeDataInfo
StartEcoSim, RedimVariabs1
tabPrepareRun_Click, RedimVariabs2
PrepareSimSpace, RedimVariabs2
ReadRefData, RedimTotalTimeVariables
ReadSpaceRefData, RedimTotalTimeVariables
StartEcoSim, RedimTotalTimeVariables
ReadDatFileToTimeSeries, RedimTotalTimeVariables
ReadSpaceDatFileToTimeSeries, RedimTotalTimeVariables
RunInfoLeaveCell, RedimTotalTimeVariables
cmdpic_Click, SaveGraph
ColorScale_Click, SaveGraph
cmdDraw_Click, SaveGraph
ShowRes_DblClick, SaveGraph
EcoVar_DblClick, SaveGraph
ShowB_DblClick, SaveGraph
JGraph2_DblClick, SaveGraph
picPhase_DblClick, SaveGraph
CRvsTL_Click, SaveGraph
ShowDmsy_DblClick, SaveGraph
ShowMSY_DblClick, SaveGraph
picKite_DblClick, SaveGraph
cmd_Click, SaveGraph
PSD_DblClick, SaveGraph
cmd_Click, SaveGraph
cmd_Click, SaveGraph
FishRateSet_DblClick, SaveGraph
picbox_DblClick, SaveGraph
plottime_DblClick, SaveGraph
cmdpic_Click, SaveGraph
BaseMap_DblClick, SaveGraph
BioPlot_DblClick, SaveGraph
BioPlot2_Click, SaveGraph
MapD_DblClick, SaveGraph
Picture2_DblClick, SaveGraph
pic1_DblClick, SaveGraph
RunModelFast, SetTimeSteps
RunModelValue, SetTimeSteps
RunModel, SetTimeSteps
EquilFish, SetTimeSteps
tabPrepareRun_Click, SetTimeSteps
SetBiomassesEcospace, SetTimeSteps
StartUpEcospace, SetTimeSteps
MakeAMatrix, MakeAMatrixCell
Derivt, setpred
InitialState, setpred
CumFit, setpred
DfitDFtime, setpred
tabPrepareRun_Click, setpred
PrepareSimSpace, setpred
derivtRed, setpred
ReadEcoSim, setvulratecell
ReadEcoSim, setvulratecell
SetParsFromP, setvulratecell
SetParsFromP, setvulratecell
setvulrate, setvulratecell
SetupSimVariables, setvulratecell
UpdatevaCellVul, setvulratecell
vaCellVulLeaveCell, setvulratecell
resetfishClick, PlotFishingRate
cbofishingShapeClick, PlotFishingRate
cbogeartypeClick, PlotFishingRate
tabPrepareRun_Click, PlotFishingRate
ylegendDblClick, PlotFishingRate
DoEstimation, RunModelFast
DoEstimation, RunModelFast
RunRanger, RunModelFast
SearchForBaseProfitability, RunModelValue
FUNC#, RunModelValue
CmdSearch_Click, RunModelValue
RunModelValue, PlotTrial
RunModelValue, AssessFs
RunRanger, RunModel
startrunClick, RunModel
RunModel, SystemRecoveryCheck
RunModelFast, PlotDataInfo
RunModel, PlotDataInfo
FindSpatialEquilibrium, PlotDataInfo
RunModel, MakeGraphReady
tabPrepareRun_Click, PlaceXLegend
EquilFish, PlaceYLegend
chkLinearClick, PlaceYLegend
CheckIndicesOnAndPlaceYLegend, PlaceYLegend
tabPrepareRun_Click, PlaceYLegend
ylegendDblClick, PlaceYLegend
resetfishClick, PlaceFishLegend
cbofishingShapeClick, PlaceFishLegend
cbogeartypeClick, PlaceFishLegend
tabPrepareRun_Click, PlaceFishLegend
ylegendDblClick, PlaceFishLegend
InitialState, MakeAMatrix
StartEcoSim, SetupSimVariables
StartEcoSimAgain, SetupSimVariables
LoadEcosimScenario, SetupSimVariables
CommandAdJuv, SetupSimVariables
StartEcoSim, DefaultMigrationAndToDetritus
StartEcoSimAgain, DefaultMigrationAndToDetritus
CommandAdJuv, DefaultMigrationAndToDetritus
StartEcoSim, SetStartBiomass
StartEcoSimAgain, SetStartBiomass
CommandAdJuv, SetStartBiomass
StartEcoSim, DefaultDF
EquilRunClick, EquilFish
EquilFish, PlaceEquilX
EquilXDblClick, PlaceEquilX
EquilFish, BaseValueOfHarvest
StartEcoSim, BaseValueOfHarvest
StartEcoSimAgain, BaseValueOfHarvest
StartEcoSim, EcoSimFileOpen
mnuSimulationItem_Click, StartEcoSim
ResetSimDefaults, StartEcoSim
ChooseSIRParams, RandomNormal
AccumulateDataInfo, RandomNormal
ChooseFeasiblePar, RandomNormal
ChooseFeasibleBA, RandomNormal
StartEcosimWithNewPars, ChooseFeasiblePar
StartEcosimWithNewPars, ChooseFeasibleBA
RunRanger, StartEcoSimAgain
StartEcosimWithNewPars, StartEcoSimAgain
mnuSimulationItem_Click, StartEcoSimAgain
tabPrepareRun_Click, DisplayGroupInfo
DisplayVulnerability, UpdatevaCellVul
FlowEnter, UpdatevaCellVul
tabPrepareRun_Click, UpdatevaCellVul
EcoSimFileOpen, SetupParametersRead
ResetSimDefaults, SetupParametersRead
EcoSimFileOpen, SetupParametersDefault1
LoadEcosimScenario, SetupParametersDefault1
RedimTotalTimeVariables, RedimZmax
SetupParametersDefault1, RedimZmax
CommandAdJuv, DefaultAdJuvParameters
DoOptStage, DefaultAdJuvParameters
EquilFish, SetFishingRates
EquilFish, PlotEquilibrium
EquilFish, SaveEquilRun
RunModelFast, SetBBtoStartBiomass
RunModelValue, SetBBtoStartBiomass
RunModel, SetBBtoStartBiomass
EquilFish, SetBBtoStartBiomass
GetEquilibrium, SetBBtoStartBiomass
SetBiomassesEcospace, SetBBtoStartBiomass
EstimateV, SetBBtoStartBiomass
RunModelFast, Set_pbm_pbbiomass
RunModelValue, Set_pbm_pbbiomass
RunModel, Set_pbm_pbbiomass
EquilFish, Set_pbm_pbbiomass
GetEquilibrium, Set_pbm_pbbiomass
PrepareSimSpace, Set_pbm_pbbiomass
SetBiomassesEcospace, Set_pbm_pbbiomass
RunModelFast, CheckIfSmall
RunModelValue, CheckIfSmall
RunModel, CheckIfSmall
QuickSolve, CheckIfSmall
RunModelFast, CalcStartEatenOfBy
RunModelValue, CalcStartEatenOfBy
RunModel, CalcStartEatenOfBy
EquilFish, CalcStartEatenOfBy
CalcNumbersInGroups, CalcStartEatenOfBy
SetBiomassesEcospace, CalcStartEatenOfBy
GetEquilibrium, SetBiomeqToBB
SetTimeSteps, SetFishTimetoFish1
RunModelFast, SetFishTimetoFish1
RunModelValue, SetFishTimetoFish1
RunModel, SetFishTimetoFish1
EquilFish, SetFishTimetoFish1
GetEquilibrium, SetFishTimetoFish1
SetBiomassesEcospace, SetFishTimetoFish1
StartEcoSimAgain, SetFFromGear
DoDatValCalculations, SetFFromGear
LoadEcosimScenario, SetFFromGear
RunModel, SetFtimeFromGear
SetFFromGear, SetFtimeFromGear
InitializeCapacity, FindCurrentProfit
RunModel, FindCurrentProfit
RunModel, PredictCurrentEffort
RunModelFast, Assign1DimValue
RunModelValue, Assign1DimValue
RunModel, Assign1DimValue
EquilFish, Assign1DimValue
GetEquilibrium, Assign1DimValue
tabPrepareRun_Click, Assign1DimValue
SetBiomassesEcospace, Assign1DimValue
StartEcoSim, Calc_nvar
StartEcoSimAgain, Calc_nvar
CommandAdJuv, Calc_nvar
tabPrepareRun_Click, Calc_nvar
PrepareSimSpace, Calc_nvar
StartEcoSim, BaseValueOfFishMGear
StartEcoSimAgain, BaseValueOfFishMGear
StartEcoSim, RemoveImportFromEcosim
StartEcoSimAgain, RemoveImportFromEcosim
RunModel, InitSave
PlotEquilibrium, InitSave
RunModel, DisplayGroupsWithDeviations
PlotEquilibrium, DisplayGroupsWithDeviations
Combo_Click, ShowAdJuvInfo
Combo_Click, ShowAdJuvInfo
RunModel, PlotCurrentEffort
tabPrepareRun_Click, CalculateAssimilationEfficiencies
tabEcoSpace_Click, CalculateAssimilationEfficiencies
Derivt, ApplyAVmodifiers
derivtRed, ApplyAVmodifiers
Derivt, SetRelaSwitch
InitialState, InitRelaSwitch
AdamsBasforth, SplitUpdate
rk4, SplitUpdate
SplitUpdate, SplitSetPred
SplitInitialize, SplitSetPred
InitialState, SplitInitialize
RedimEIIdata, CinfoDeclare
InitialState, CInitialize
RunSpaceValue, CInitialize
FindSpatialEquilibrium, CInitialize
startrunClick, ClosePlots
Cupdate, ConDeriv
RunSpaceValue, ConDeriv
FindSpatialEquilibrium, ConDeriv
AdamsBasforth, Cupdate
rk4, Cupdate
AdamsBasforth, SaveEiiDataFromEcosim
rk4, SaveEiiDataFromEcosim
StartEcoSim, CalcEatenOfBy
StartEcoSimAgain, CalcEatenOfBy
CommandAdJuv, CalcEatenOfBy
tabPrepareRun_Click, CalcEatenOfBy
PrepareSimSpace, CalcEatenOfBy
StartEcoSim, CalcMo
StartEcoSimAgain, CalcMo
CommandAdJuv, CalcMo
tabPrepareRun_Click, CalcNumbersInGroups
PrepareSimSpace, CalcNumbersInGroups
